country,country_name,base_year,compare_year,y_start,y_end,change
ALB,Albania,2015,2020,38.434484224343976,30.02866628719097,-8.405817937153007
AND,Andorra,2015,2020,0,12.755106975700814,12.755106975700814
ARM,Armenia,2015,2020,32.85083869149644,25.54203487076724,-7.308803820729203
AUS,Australia,2015,2020,25.29254558816461,26.10839562583295,0.8158500376683406
AUT,Austria,2015,2020,21.46147552726391,22.907636872384884,1.4461613451209736
AZE,Azerbaijan,2015,2020,29.185835220549492,31.71526850366218,2.529433283112688
BEL,Belgium,2015,2020,19.60859738191413,19.878367577060654,0.2697701951465241
BEN,Benin,2015,2020,45.22016629559418,38.747755385489945,-6.472410910104237
BFA,Burkina Faso,2015,2020,20.541257584533877,32.80623907117903,12.264981486645151
BGR,Bulgaria,2015,2020,28.445466048743427,26.95970550952211,-1.4857605392213173
BHR,Bahrain,2015,2020,32.133221351578875,33.44670506923819,1.3134837176593166
BIH,Bosnia & Herzegovina,2015,2020,33.4271935107758,37.33677543218454,3.909581921408737
BLR,Belarus,2015,2020,20.87827690576933,20.994194636171127,0.11591773040179731
BLZ,Belize,2015,2020,28.55714744442377,35.1160611712484,6.558913726824628
BRA,Brazil,2015,2020,25.0718037244124,25.526555594177974,0.45475186976557325
BRN,Brunei,2015,2020,35.794634974588035,42.48509733365597,6.690462359067936
CAN,Canada,2015,2020,25.18113727347528,27.65287329860191,2.4717360251266314
CHE,Switzerland,2015,2020,23.808637484295485,24.823667986989136,1.0150305026936515
CHL,Chile,2015,2020,14.873421130493938,15.902767563326728,1.0293464328327904
COL,Colombia,2015,2020,28.697544767983256,30.51795453490365,1.8204097669203954
CRI,Costa Rica,2015,2020,21.173665911727294,24.08634865608868,2.912682744361387
CYP,Cyprus,2015,2020,28.39479686644944,24.502288560175423,-3.892508306274017
CZE,Czechia,2015,2020,25.59217285777944,27.219856491763707,1.6276836339842689
DEU,Germany,2015,2020,26.732475935331543,26.65086077708002,-0.08161515825152321
DNK,Denmark,2015,2020,25.870930562763167,27.59549086435552,1.7245603015923514
DOM,Dominican Republic,2015,2020,29.337865047794143,16.0663438401092,-13.271521207684941
ECU,Ecuador,2015,2020,23.0828775353481,24.168468701338917,1.0855911659908166
ESP,Spain,2015,2020,25.02845388848315,23.43976624871999,-1.5886876397631582
EST,Estonia,2015,2020,26.040685609135775,29.158475042423397,3.117789433287623
FIN,Finland,2015,2020,20.262077668356103,22.216673086907637,1.9545954185515342
FRA,France,2015,2020,26.273920642371547,26.772212127187046,0.4982914848154998
GBR,United Kingdom,2015,2020,31.455923634461293,26.0786280455322,-5.377295588929094
GHA,Ghana,2015,2020,27.957084596346515,22.94174181560208,-5.015342780744437
HRV,Croatia,2015,2020,26.972448183406755,28.989979861590427,2.0175316781836727
HUN,Hungary,2015,2020,22.895095761528356,20.03170238372089,-2.8633933778074656
IND,India,2015,2020,41.62461048865397,40.87328219347981,-0.7513282951741616
IRL,Ireland,2015,2020,26.90507640220339,28.52267025087659,1.6175938486731987
IRN,Iran,2015,2020,37.84515575618358,37.052599681720494,-0.7925560744630857
ITA,Italy,2015,2020,32.11268878971551,31.18928313684662,-0.9234056528688939
KGZ,Kyrgyzstan,2015,2020,27.62155136196786,26.747733589402188,-0.8738177725656726
KOR,South Korea,2015,2020,25.210134153908477,24.486612411918284,-0.7235217419901936
LKA,Sri Lanka,2015,2020,28.1536997139792,26.270651481593287,-1.8830482323859137
LTU,Lithuania,2015,2020,20.481591375550853,21.678338186085952,1.1967468105350996
LUX,Luxembourg,2015,2020,17.682734125466055,25.665021225102475,7.9822870996364195
LVA,Latvia,2015,2020,19.50006990796633,19.151343122553513,-0.34872678541281843
MAC,Macao SAR China,2015,2020,14.274309740456454,18.934895910463123,4.660586170006669
MAR,Morocco,2015,2020,46.94074411223591,49.64695078710954,2.706206674873627
MDA,Moldova,2015,2020,24.40344816025359,24.75299301668655,0.34954485643295996
MDG,Madagascar,2015,2020,32.23637657101577,30.718194953196097,-1.5181816178196712
MEX,Mexico,2015,2020,28.972811207362824,28.560853745626137,-0.41195746173668724
MKD,North Macedonia,2015,2020,37.88866757431204,40.92872050577985,3.0400529314678124
MLT,Malta,2015,2020,25.8319065924895,24.650605779815628,-1.1813008126738715
NAM,Namibia,2015,2020,31.744084457105455,20.518547937445344,-11.22553651966011
NOR,Norway,2015,2020,22.315243907945025,22.8122546856071,0.49701077766207646
NZL,New Zealand,2015,2020,28.38829438438711,29.646349421231697,1.2580550368445884
OMN,Oman,2015,2020,41.94851089976608,42.30045192564298,0.35194102587690423
PAN,Panama,2015,2020,32.670218641839526,27.91498311025473,-4.755235531584795
PHL,Philippines,2015,2020,35.02034768483158,30.26442064917763,-4.755927035653947
POL,Poland,2015,2020,28.688555290398593,27.96748379030577,-0.7210715000928225
PRT,Portugal,2015,2020,30.44701787528183,28.863839445264976,-1.5831784300168543
PSE,Palestinian Territories,2015,2020,35.445946724690245,34.683517931797766,-0.7624287928924787
ROU,Romania,2015,2020,33.87001576357239,33.18538989362395,-0.6846258699484409
SAU,Saudi Arabia,2015,2020,37.88935387990741,37.653013247607895,-0.23634063229951607
SLV,El Salvador,2015,2020,21.42738566254165,23.30779841791171,1.8804127553700596
SRB,Serbia,2015,2020,32.154403946651044,34.69436923083995,2.5399652841889093
SVK,Slovakia,2015,2020,24.833267233260138,24.618104486392937,-0.21516274686720038
SVN,Slovenia,2015,2020,24.227371921960632,24.454500312438384,0.2271283904777519
SWE,Sweden,2015,2020,23.96310989467356,25.802443436333625,1.8393335416600642
SYC,Seychelles,2015,2020,12.83863262186876,20.937222116108103,8.098589494239343
TUN,Tunisia,2015,2020,39.56889469472662,36.68806625828002,-2.880828436446606
UKR,Ukraine,2015,2020,26.579047879179136,25.0164026701934,-1.5626452089857352
USA,United States,2015,2020,26.341680101325693,28.357307872418097,2.0156277710924044
ZAF,South Africa,2015,2020,31.586257002834667,33.41611882465911,1.8298618218244407
