indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F600.M,ABW,2000,0,,NA
FOSGP.5T8.F600.M,ABW,2001,0,,NA
FOSGP.5T8.F600.M,ABW,2002,0,,NA
FOSGP.5T8.F600.M,ABW,2003,0,,NA
FOSGP.5T8.F600.M,ABW,2004,0,,NA
FOSGP.5T8.F600.M,ABW,2005,0,,NA
FOSGP.5T8.F600.M,ABW,2006,0,,NA
FOSGP.5T8.F600.M,ABW,2007,0,,NA
FOSGP.5T8.F600.M,ABW,2008,0,,NA
FOSGP.5T8.F600.M,ABW,2009,0,,NA
FOSGP.5T8.F600.M,ABW,2010,0,,NA
FOSGP.5T8.F600.M,ABW,2011,0,,NA
FOSGP.5T8.F600.M,ABW,2012,0,,NA
FOSGP.5T8.F600.M,ABW,2015,0,,NIL
FOSGP.5T8.F600.M,ABW,2016,0,,NIL
FOSGP.5T8.F600.M,AFG,2020,5.356669902801514,,
FOSGP.5T8.F600.M,AGO,2002,0,,NIL
FOSGP.5T8.F600.M,AGO,2015,5.524940013885498,,
FOSGP.5T8.F600.M,AIA,2000,0,,NA
FOSGP.5T8.F600.M,AIA,2001,0,,NA
FOSGP.5T8.F600.M,AIA,2002,0,,NA
FOSGP.5T8.F600.M,AIA,2003,0,,NA
FOSGP.5T8.F600.M,AIA,2007,0,,NIL
FOSGP.5T8.F600.M,ALB,2000,0.7667700052261353,,
FOSGP.5T8.F600.M,ALB,2003,1.253479957580566,,
FOSGP.5T8.F600.M,ALB,2011,3.267430067062378,,
FOSGP.5T8.F600.M,ALB,2015,7.163559913635254,,
FOSGP.5T8.F600.M,ALB,2016,6.561769962310791,,
FOSGP.5T8.F600.M,ALB,2017,8.916850090026855,,
FOSGP.5T8.F600.M,ALB,2018,10.3741397857666,,
FOSGP.5T8.F600.M,ALB,2019,8.645560264587402,,
FOSGP.5T8.F600.M,ALB,2020,9.256660461425781,,
FOSGP.5T8.F600.M,ALB,2021,10.15497970581055,,
FOSGP.5T8.F600.M,ALB,2022,10.48843955993652,,
FOSGP.5T8.F600.M,ALB,2023,11.89743995666504,,
FOSGP.5T8.F600.M,AND,2002,77.77777862548828,,
FOSGP.5T8.F600.M,AND,2003,68.42105102539062,,
FOSGP.5T8.F600.M,AND,2004,65.21739196777344,,
FOSGP.5T8.F600.M,AND,2005,57.57575988769531,,
FOSGP.5T8.F600.M,AND,2006,55.17240905761719,,
FOSGP.5T8.F600.M,AND,2008,40.90908813476563,,
FOSGP.5T8.F600.M,AND,2012,21.0526294708252,,
FOSGP.5T8.F600.M,AND,2015,0,,NIL
FOSGP.5T8.F600.M,AND,2016,0,,NIL
FOSGP.5T8.F600.M,AND,2017,0,,NIL
FOSGP.5T8.F600.M,AND,2018,2.439019918441772,,
FOSGP.5T8.F600.M,AND,2019,0,,NIL
FOSGP.5T8.F600.M,AND,2020,34,,
FOSGP.5T8.F600.M,AND,2021,10.25640964508057,,
FOSGP.5T8.F600.M,AND,2022,28.2608699798584,,
FOSGP.5T8.F600.M,AND,2023,20.28985977172852,,
FOSGP.5T8.F600.M,ARE,2018,6.564730167388916,,
FOSGP.5T8.F600.M,ARE,2019,6.293489933013916,,
FOSGP.5T8.F600.M,ARE,2020,6.292540073394775,,
FOSGP.5T8.F600.M,ARE,2021,7.638020038604736,,
FOSGP.5T8.F600.M,ARE,2022,9.150639533996582,,
FOSGP.5T8.F600.M,ARE,2023,8.471839904785156,,
FOSGP.5T8.F600.M,ARG,2006,7.979529857635498,,
FOSGP.5T8.F600.M,ARG,2007,7.083469867706299,,
FOSGP.5T8.F600.M,ARG,2008,7.206270217895508,,
FOSGP.5T8.F600.M,ARG,2009,6.544300079345703,,
FOSGP.5T8.F600.M,ARG,2010,6.698840141296387,,
FOSGP.5T8.F600.M,ARG,2018,4.663080215454102,,
FOSGP.5T8.F600.M,ARG,2020,3.651550054550171,,
FOSGP.5T8.F600.M,ARG,2021,4.57289981842041,,
FOSGP.5T8.F600.M,ARG,2022,3.467600107192993,,
FOSGP.5T8.F600.M,ARM,2010,2.321439981460571,,
FOSGP.5T8.F600.M,ARM,2015,3.836740016937256,,
FOSGP.5T8.F600.M,ARM,2016,2.344280004501343,,
FOSGP.5T8.F600.M,ARM,2017,5.247310161590576,,
FOSGP.5T8.F600.M,ARM,2018,3.846149921417236,,
FOSGP.5T8.F600.M,ARM,2019,8.19324016571045,,
FOSGP.5T8.F600.M,ARM,2020,9.506600379943848,,
FOSGP.5T8.F600.M,ARM,2021,10.48431015014648,,
FOSGP.5T8.F600.M,ARM,2022,11.17514038085938,,
FOSGP.5T8.F600.M,ARM,2023,13.01439952850342,,
FOSGP.5T8.F600.M,ASM,2007,0,,NA
FOSGP.5T8.F600.M,ATG,2009,71.42857360839844,,
FOSGP.5T8.F600.M,ATG,2010,13.88889026641846,,
FOSGP.5T8.F600.M,ATG,2011,28.57143020629883,,
FOSGP.5T8.F600.M,ATG,2012,25.80644989013672,,
FOSGP.5T8.F600.M,AUS,2000,8.744629859924316,,
FOSGP.5T8.F600.M,AUS,2002,15.22828960418701,,
FOSGP.5T8.F600.M,AUS,2003,14.84311962127686,,
FOSGP.5T8.F600.M,AUS,2005,13.78337001800537,,
FOSGP.5T8.F600.M,AUS,2006,12.09298038482666,,
FOSGP.5T8.F600.M,AUS,2007,10.51276016235352,,
FOSGP.5T8.F600.M,AUS,2008,9.095620155334473,,
FOSGP.5T8.F600.M,AUS,2009,8.279950141906738,,
FOSGP.5T8.F600.M,AUS,2011,7.615990161895752,,
FOSGP.5T8.F600.M,AUS,2013,6.862360000610352,,
FOSGP.5T8.F600.M,AUS,2014,7.093999862670898,,
FOSGP.5T8.F600.M,AUS,2015,7.241630077362061,,
FOSGP.5T8.F600.M,AUS,2017,7.64277982711792,,
FOSGP.5T8.F600.M,AUS,2018,8.250829696655273,,
FOSGP.5T8.F600.M,AUS,2019,10.05576038360596,,
FOSGP.5T8.F600.M,AUS,2020,12.34620952606201,,
FOSGP.5T8.F600.M,AUS,2021,12.43350982666016,,
FOSGP.5T8.F600.M,AUS,2022,10.73884963989258,,
FOSGP.5T8.F600.M,AUT,2013,8.32079029083252,,
FOSGP.5T8.F600.M,AUT,2014,8.591650009155273,,
FOSGP.5T8.F600.M,AUT,2015,7.767320156097412,,
FOSGP.5T8.F600.M,AUT,2016,7.701980113983154,,
FOSGP.5T8.F600.M,AUT,2018,8.098170280456543,,
FOSGP.5T8.F600.M,AUT,2019,8.25802993774414,,
FOSGP.5T8.F600.M,AUT,2020,8.089879989624023,,
FOSGP.5T8.F600.M,AUT,2021,8.89706039428711,,
FOSGP.5T8.F600.M,AUT,2022,9.741399765014648,,
FOSGP.5T8.F600.M,AZE,2008,2.035650014877319,,
FOSGP.5T8.F600.M,AZE,2009,1.92290997505188,,
FOSGP.5T8.F600.M,AZE,2010,1.71668004989624,,
FOSGP.5T8.F600.M,AZE,2011,1.682180047035217,,
FOSGP.5T8.F600.M,AZE,2012,1.6910799741745,,
FOSGP.5T8.F600.M,AZE,2015,6.177229881286621,,
FOSGP.5T8.F600.M,AZE,2016,6.095389842987061,,
FOSGP.5T8.F600.M,AZE,2017,5.754209995269775,,
FOSGP.5T8.F600.M,AZE,2018,3.428859949111938,,
FOSGP.5T8.F600.M,AZE,2019,4.426340103149414,,
FOSGP.5T8.F600.M,AZE,2020,7.992539882659912,,
FOSGP.5T8.F600.M,AZE,2021,8.636340141296387,,
FOSGP.5T8.F600.M,AZE,2022,7.994750022888184,,
FOSGP.5T8.F600.M,AZE,2023,6.683939933776855,,
FOSGP.5T8.F600.M,BDI,2001,0,,NIL
FOSGP.5T8.F600.M,BDI,2004,0,,NIL
FOSGP.5T8.F600.M,BDI,2010,5.062660217285156,,
FOSGP.5T8.F600.M,BDI,2016,7.827809810638428,,
FOSGP.5T8.F600.M,BDI,2017,5.830150127410889,,
FOSGP.5T8.F600.M,BDI,2018,7.822110176086426,,
FOSGP.5T8.F600.M,BEL,2000,5.431169986724854,,
FOSGP.5T8.F600.M,BEL,2001,6.539869785308838,,
FOSGP.5T8.F600.M,BEL,2002,7.885489940643311,,
FOSGP.5T8.F600.M,BEL,2006,7.627769947052002,,
FOSGP.5T8.F600.M,BEL,2008,5.528329849243164,,
FOSGP.5T8.F600.M,BEL,2009,4.443190097808838,,
FOSGP.5T8.F600.M,BEL,2010,4.072889804840088,,
FOSGP.5T8.F600.M,BEL,2011,4.248859882354736,,
FOSGP.5T8.F600.M,BEL,2012,4.163790225982666,,
FOSGP.5T8.F600.M,BEL,2013,3.976439952850342,,
FOSGP.5T8.F600.M,BEL,2014,4.047749996185303,,
FOSGP.5T8.F600.M,BEL,2015,2.596960067749023,,
FOSGP.5T8.F600.M,BEL,2016,3.624680042266846,,
FOSGP.5T8.F600.M,BEL,2017,4.142839908599854,,
FOSGP.5T8.F600.M,BEL,2018,4.580939769744873,,
FOSGP.5T8.F600.M,BEL,2019,4.576560020446777,,
FOSGP.5T8.F600.M,BEL,2020,4.539390087127686,,
FOSGP.5T8.F600.M,BEL,2021,6.005320072174072,,
FOSGP.5T8.F600.M,BEL,2022,6.420509815216064,,
FOSGP.5T8.F600.M,BEN,2011,2.305210113525391,,
FOSGP.5T8.F600.M,BEN,2014,8.54701042175293,,
FOSGP.5T8.F600.M,BEN,2015,5.969399929046631,,
FOSGP.5T8.F600.M,BEN,2018,5.889309883117676,,
FOSGP.5T8.F600.M,BEN,2019,4.374639987945557,,
FOSGP.5T8.F600.M,BEN,2020,6.3471999168396,,
FOSGP.5T8.F600.M,BEN,2021,4.580770015716553,,
FOSGP.5T8.F600.M,BEN,2022,4.57903003692627,,
FOSGP.5T8.F600.M,BFA,2011,2.174720048904419,,
FOSGP.5T8.F600.M,BFA,2012,1.891960024833679,,
FOSGP.5T8.F600.M,BFA,2014,0.0394800007343292,,
FOSGP.5T8.F600.M,BFA,2015,0.301149994134903,,
