indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F500.F,ABW,2000,0,,NA
FOSGP.5T8.F500.F,ABW,2001,0,,NA
FOSGP.5T8.F500.F,ABW,2002,0,,NA
FOSGP.5T8.F500.F,ABW,2003,0,,NA
FOSGP.5T8.F500.F,ABW,2004,0,,NA
FOSGP.5T8.F500.F,ABW,2005,0,,NA
FOSGP.5T8.F500.F,ABW,2006,0,,NA
FOSGP.5T8.F500.F,ABW,2007,0,,NA
FOSGP.5T8.F500.F,ABW,2008,0,,NA
FOSGP.5T8.F500.F,ABW,2009,0,,NA
FOSGP.5T8.F500.F,ABW,2010,0,,NA
FOSGP.5T8.F500.F,ABW,2011,0,,NA
FOSGP.5T8.F500.F,ABW,2012,0,,NA
FOSGP.5T8.F500.F,ABW,2015,0,,NIL
FOSGP.5T8.F500.F,ABW,2016,1.282050013542175,,
FOSGP.5T8.F500.F,AFG,2020,1.291800022125244,,
FOSGP.5T8.F500.F,AGO,2002,8.571430206298828,,
FOSGP.5T8.F500.F,AGO,2015,3.831160068511963,,
FOSGP.5T8.F500.F,AIA,2000,0,,NA
FOSGP.5T8.F500.F,AIA,2001,0,,NA
FOSGP.5T8.F500.F,AIA,2002,0,,NA
FOSGP.5T8.F500.F,AIA,2003,0,,NA
FOSGP.5T8.F500.F,AIA,2007,0,,NIL
FOSGP.5T8.F500.F,ALB,2000,1.104099988937378,,
FOSGP.5T8.F500.F,ALB,2003,1.009029984474182,,
FOSGP.5T8.F500.F,ALB,2011,5.034589767456055,,
FOSGP.5T8.F500.F,ALB,2015,6.031449794769287,,
FOSGP.5T8.F500.F,ALB,2016,5.077370166778564,,
FOSGP.5T8.F500.F,ALB,2017,5.274750232696533,,
FOSGP.5T8.F500.F,ALB,2018,4.746570110321045,,
FOSGP.5T8.F500.F,ALB,2019,4.681970119476318,,
FOSGP.5T8.F500.F,ALB,2020,4.343369960784912,,
FOSGP.5T8.F500.F,ALB,2021,3.417929887771606,,
FOSGP.5T8.F500.F,ALB,2022,3.860610008239746,,
FOSGP.5T8.F500.F,ALB,2023,3.60725998878479,,
FOSGP.5T8.F500.F,AND,2002,0,,NIL
FOSGP.5T8.F500.F,AND,2003,0,,NIL
FOSGP.5T8.F500.F,AND,2004,0,,NIL
FOSGP.5T8.F500.F,AND,2005,0,,NIL
FOSGP.5T8.F500.F,AND,2006,0,,NIL
FOSGP.5T8.F500.F,AND,2008,0,,NIL
FOSGP.5T8.F500.F,AND,2012,0,,NIL
FOSGP.5T8.F500.F,AND,2015,0,,NIL
FOSGP.5T8.F500.F,AND,2016,0,,NIL
FOSGP.5T8.F500.F,AND,2017,0,,NIL
FOSGP.5T8.F500.F,AND,2018,0,,NIL
FOSGP.5T8.F500.F,AND,2019,0,,NIL
FOSGP.5T8.F500.F,AND,2020,0,,NIL
FOSGP.5T8.F500.F,AND,2021,3.636359930038452,,
