indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F500.M,ABW,2000,0,,NA
FOSGP.5T8.F500.M,ABW,2001,0,,NA
FOSGP.5T8.F500.M,ABW,2002,0,,NA
FOSGP.5T8.F500.M,ABW,2003,0,,NA
FOSGP.5T8.F500.M,ABW,2004,0,,NA
FOSGP.5T8.F500.M,ABW,2005,0,,NA
FOSGP.5T8.F500.M,ABW,2006,0,,NA
FOSGP.5T8.F500.M,ABW,2007,0,,NA
FOSGP.5T8.F500.M,ABW,2008,0,,NA
FOSGP.5T8.F500.M,ABW,2009,0,,NA
FOSGP.5T8.F500.M,ABW,2010,0,,NA
FOSGP.5T8.F500.M,ABW,2011,0,,NA
FOSGP.5T8.F500.M,ABW,2012,0,,NA
FOSGP.5T8.F500.M,ABW,2015,0,,NIL
FOSGP.5T8.F500.M,ABW,2016,4.347829818725586,,
FOSGP.5T8.F500.M,AFG,2020,0.6353999972343445,,
FOSGP.5T8.F500.M,AGO,2002,9.803919792175293,,
FOSGP.5T8.F500.M,AGO,2015,1.712579965591431,,
FOSGP.5T8.F500.M,AIA,2000,0,,NA
FOSGP.5T8.F500.M,AIA,2001,0,,NA
FOSGP.5T8.F500.M,AIA,2002,0,,NA
FOSGP.5T8.F500.M,AIA,2003,0,,NA
FOSGP.5T8.F500.M,AIA,2007,0,,NIL
FOSGP.5T8.F500.M,ALB,2000,1.086259961128235,,
FOSGP.5T8.F500.M,ALB,2003,0.4874700009822845,,
FOSGP.5T8.F500.M,ALB,2011,3.622590065002441,,
FOSGP.5T8.F500.M,ALB,2015,3.94202995300293,,
FOSGP.5T8.F500.M,ALB,2016,3.933599948883057,,
FOSGP.5T8.F500.M,ALB,2017,4.282589912414551,,
FOSGP.5T8.F500.M,ALB,2018,3.534830093383789,,
FOSGP.5T8.F500.M,ALB,2019,2.927370071411133,,
FOSGP.5T8.F500.M,ALB,2020,2.796279907226563,,
FOSGP.5T8.F500.M,ALB,2021,2.081459999084473,,
FOSGP.5T8.F500.M,ALB,2022,2.331830024719238,,
FOSGP.5T8.F500.M,ALB,2023,1.630769968032837,,
FOSGP.5T8.F500.M,AND,2002,0,,NIL
FOSGP.5T8.F500.M,AND,2003,0,,NIL
FOSGP.5T8.F500.M,AND,2004,0,,NIL
FOSGP.5T8.F500.M,AND,2005,0,,NIL
FOSGP.5T8.F500.M,AND,2006,0,,NIL
FOSGP.5T8.F500.M,AND,2008,0,,NIL
FOSGP.5T8.F500.M,AND,2012,0,,NIL
FOSGP.5T8.F500.M,AND,2015,0,,NIL
FOSGP.5T8.F500.M,AND,2016,0,,NIL
FOSGP.5T8.F500.M,AND,2017,0,,NIL
FOSGP.5T8.F500.M,AND,2018,0,,NIL
FOSGP.5T8.F500.M,AND,2019,0,,NIL
FOSGP.5T8.F500.M,AND,2020,0,,NIL
FOSGP.5T8.F500.M,AND,2021,0,,NIL
FOSGP.5T8.F500.M,AND,2022,0,,NIL
FOSGP.5T8.F500.M,AND,2023,1.449280023574829,,
FOSGP.5T8.F500.M,ARE,2018,2.00652003288269,,
FOSGP.5T8.F500.M,ARE,2019,2.081549882888794,,
FOSGP.5T8.F500.M,ARE,2020,2.081820011138916,,
FOSGP.5T8.F500.M,ARE,2021,2.299069881439209,,
FOSGP.5T8.F500.M,ARE,2022,2.353209972381592,,
FOSGP.5T8.F500.M,ARE,2023,2.2325599193573,,
FOSGP.5T8.F500.M,ARG,2006,2.741400003433228,,
FOSGP.5T8.F500.M,ARG,2007,2.685230016708374,,
FOSGP.5T8.F500.M,ARG,2008,2.57436990737915,,
FOSGP.5T8.F500.M,ARG,2009,2.834239959716797,,
FOSGP.5T8.F500.M,ARG,2010,2.944329977035522,,
FOSGP.5T8.F500.M,ARG,2018,7.958600044250488,,
FOSGP.5T8.F500.M,ARG,2020,8.477080345153809,,
FOSGP.5T8.F500.M,ARG,2021,8.55093002319336,,
FOSGP.5T8.F500.M,ARG,2022,9.232110023498535,,
FOSGP.5T8.F500.M,ARM,2010,7.720829963684082,,
FOSGP.5T8.F500.M,ARM,2015,6.838469982147217,,
FOSGP.5T8.F500.M,ARM,2016,5.264050006866455,,
FOSGP.5T8.F500.M,ARM,2017,4.679480075836182,,
FOSGP.5T8.F500.M,ARM,2018,5.699230194091797,,
FOSGP.5T8.F500.M,ARM,2019,6.318120002746582,,
FOSGP.5T8.F500.M,ARM,2020,5.354179859161377,,
FOSGP.5T8.F500.M,ARM,2021,4.897510051727295,,
FOSGP.5T8.F500.M,ARM,2022,3.892090082168579,,
FOSGP.5T8.F500.M,ARM,2023,3.975850105285645,,
FOSGP.5T8.F500.M,ASM,2007,0,,NA
FOSGP.5T8.F500.M,ATG,2009,0,,NIL
FOSGP.5T8.F500.M,ATG,2010,0,,NIL
FOSGP.5T8.F500.M,ATG,2011,0,,NIL
FOSGP.5T8.F500.M,ATG,2012,0,,NIL
FOSGP.5T8.F500.M,AUS,2000,7.497910022735596,,
FOSGP.5T8.F500.M,AUS,2002,4.931320190429688,,
FOSGP.5T8.F500.M,AUS,2003,5.279789924621582,,
FOSGP.5T8.F500.M,AUS,2005,5.389490127563477,,
FOSGP.5T8.F500.M,AUS,2006,5.367929935455322,,
FOSGP.5T8.F500.M,AUS,2007,5.241489887237549,,
FOSGP.5T8.F500.M,AUS,2008,5.197810173034668,,
FOSGP.5T8.F500.M,AUS,2009,4.957709789276123,,
FOSGP.5T8.F500.M,AUS,2011,4.778389930725098,,
FOSGP.5T8.F500.M,AUS,2013,5.164529800415039,,
FOSGP.5T8.F500.M,AUS,2014,5.28518009185791,,
FOSGP.5T8.F500.M,AUS,2015,7.178880214691162,,
FOSGP.5T8.F500.M,AUS,2017,6.952400207519531,,
FOSGP.5T8.F500.M,AUS,2018,5.797239780426025,,
FOSGP.5T8.F500.M,AUS,2019,5.512239933013916,,
FOSGP.5T8.F500.M,AUS,2020,5.30951976776123,,
FOSGP.5T8.F500.M,AUS,2021,5.489250183105469,,
FOSGP.5T8.F500.M,AUS,2022,5.452000141143799,,
FOSGP.5T8.F500.M,AUT,2013,5.346030235290527,,
FOSGP.5T8.F500.M,AUT,2014,5.411349773406982,,
FOSGP.5T8.F500.M,AUT,2015,6.438010215759277,,
FOSGP.5T8.F500.M,AUT,2016,6.435160160064697,,
FOSGP.5T8.F500.M,AUT,2018,6.989250183105469,,
FOSGP.5T8.F500.M,AUT,2019,6.539609909057617,,
FOSGP.5T8.F500.M,AUT,2020,6.317739963531494,,
FOSGP.5T8.F500.M,AUT,2021,6.588160037994385,,
FOSGP.5T8.F500.M,AUT,2022,6.627140045166016,,
FOSGP.5T8.F500.M,AZE,2008,9.326399803161621,,
FOSGP.5T8.F500.M,AZE,2009,7.812099933624268,,
FOSGP.5T8.F500.M,AZE,2010,7.722959995269775,,
FOSGP.5T8.F500.M,AZE,2011,7.178520202636719,,
FOSGP.5T8.F500.M,AZE,2012,7.585440158843994,,
FOSGP.5T8.F500.M,AZE,2015,3.164849996566772,,
FOSGP.5T8.F500.M,AZE,2016,2.765100002288818,,
FOSGP.5T8.F500.M,AZE,2017,3.280679941177368,,
FOSGP.5T8.F500.M,AZE,2018,3.040770053863525,,
FOSGP.5T8.F500.M,AZE,2019,3.348850011825562,,
FOSGP.5T8.F500.M,AZE,2020,2.109139919281006,,
FOSGP.5T8.F500.M,AZE,2021,1.754390001296997,,
FOSGP.5T8.F500.M,AZE,2022,1.821959972381592,,
FOSGP.5T8.F500.M,AZE,2023,1.692569971084595,,
FOSGP.5T8.F500.M,BDI,2001,0,,NIL
FOSGP.5T8.F500.M,BDI,2004,4.80620002746582,,
FOSGP.5T8.F500.M,BDI,2010,2.706769943237305,,
FOSGP.5T8.F500.M,BDI,2016,11.86754989624023,,
FOSGP.5T8.F500.M,BDI,2017,8.670129776000977,,
FOSGP.5T8.F500.M,BDI,2018,15.17111015319824,,
FOSGP.5T8.F500.M,BEL,2000,6.205160140991211,,
FOSGP.5T8.F500.M,BEL,2001,6.153649806976318,,
FOSGP.5T8.F500.M,BEL,2002,5.288660049438477,,
FOSGP.5T8.F500.M,BEL,2006,5.054440021514893,,
FOSGP.5T8.F500.M,BEL,2008,4.07036018371582,,
FOSGP.5T8.F500.M,BEL,2009,4.381649971008301,,
FOSGP.5T8.F500.M,BEL,2010,4.785230159759521,,
FOSGP.5T8.F500.M,BEL,2011,4.902530193328857,,
FOSGP.5T8.F500.M,BEL,2012,4.993879795074463,,
FOSGP.5T8.F500.M,BEL,2013,5.032289981842041,,
FOSGP.5T8.F500.M,BEL,2014,5.241429805755615,,
FOSGP.5T8.F500.M,BEL,2015,6.26662015914917,,
FOSGP.5T8.F500.M,BEL,2016,5.375669956207275,,
FOSGP.5T8.F500.M,BEL,2017,5.306000232696533,,
FOSGP.5T8.F500.M,BEL,2018,5.391339778900146,,
FOSGP.5T8.F500.M,BEL,2019,5.51446008682251,,
FOSGP.5T8.F500.M,BEL,2020,5.486710071563721,,
FOSGP.5T8.F500.M,BEL,2021,5.552690029144287,,
FOSGP.5T8.F500.M,BEL,2022,5.63116979598999,,
FOSGP.5T8.F500.M,BEN,2011,1.862879991531372,,
FOSGP.5T8.F500.M,BEN,2014,1.657600045204163,,
FOSGP.5T8.F500.M,BEN,2015,10.24277019500732,,
FOSGP.5T8.F500.M,BEN,2018,13.69606971740723,,
FOSGP.5T8.F500.M,BEN,2019,18.0507698059082,,
FOSGP.5T8.F500.M,BEN,2020,11.05276966094971,,
FOSGP.5T8.F500.M,BEN,2021,13.12749004364014,,
FOSGP.5T8.F500.M,BEN,2022,13.13280963897705,,
FOSGP.5T8.F500.M,BFA,2011,15.1301097869873,,
FOSGP.5T8.F500.M,BFA,2012,13.14850044250488,,
FOSGP.5T8.F500.M,BFA,2014,12.06198978424072,,
FOSGP.5T8.F500.M,BFA,2015,9.277250289916992,,
FOSGP.5T8.F500.M,BFA,2016,7.531060218811035,,
FOSGP.5T8.F500.M,BFA,2017,7.378809928894043,,
FOSGP.5T8.F500.M,BFA,2018,9.348349571228027,,
FOSGP.5T8.F500.M,BFA,2019,7.95035982131958,,
FOSGP.5T8.F500.M,BFA,2020,8.822139739990234,,
FOSGP.5T8.F500.M,BFA,2021,10.48398971557617,,
FOSGP.5T8.F500.M,BFA,2022,14.51255989074707,,
FOSGP.5T8.F500.M,BGD,2016,9.650879859924316,,
FOSGP.5T8.F500.M,BGD,2017,9.650879859924316,,
FOSGP.5T8.F500.M,BGD,2019,9.487130165100098,,
FOSGP.5T8.F500.M,BGD,2020,9.48723030090332,,
FOSGP.5T8.F500.M,BGR,2000,2.31171989440918,,
FOSGP.5T8.F500.M,BGR,2001,3.46550989151001,,
FOSGP.5T8.F500.M,BGR,2002,3.01471996307373,,
FOSGP.5T8.F500.M,BGR,2003,2.651570081710815,,
FOSGP.5T8.F500.M,BGR,2004,2.658380031585693,,
FOSGP.5T8.F500.M,BGR,2005,2.615170001983643,,
FOSGP.5T8.F500.M,BGR,2007,2.551359891891479,,
FOSGP.5T8.F500.M,BGR,2008,1.585729956626892,,
FOSGP.5T8.F500.M,BGR,2009,1.703850030899048,,
FOSGP.5T8.F500.M,BGR,2010,1.950180053710938,,
FOSGP.5T8.F500.M,BGR,2011,1.854300022125244,,
FOSGP.5T8.F500.M,BGR,2012,1.920779943466187,,
FOSGP.5T8.F500.M,BGR,2013,1.823340058326721,,
FOSGP.5T8.F500.M,BGR,2014,1.896690011024475,,
FOSGP.5T8.F500.M,BGR,2015,2.979880094528198,,
FOSGP.5T8.F500.M,BGR,2016,2.898979902267456,,
FOSGP.5T8.F500.M,BGR,2017,2.689640045166016,,
FOSGP.5T8.F500.M,BGR,2018,2.412470102310181,,
FOSGP.5T8.F500.M,BGR,2019,2.589989900588989,,
FOSGP.5T8.F500.M,BGR,2020,2.395999908447266,,
FOSGP.5T8.F500.M,BGR,2021,2.443700075149536,,
FOSGP.5T8.F500.M,BHR,2003,2.44215989112854,,
FOSGP.5T8.F500.M,BHR,2005,1.661779999732971,,
FOSGP.5T8.F500.M,BHR,2006,3.023760080337524,,
FOSGP.5T8.F500.M,BHR,2015,0.8068100214004517,,
FOSGP.5T8.F500.M,BHR,2016,0.851580023765564,,
FOSGP.5T8.F500.M,BHR,2017,0.890470027923584,,
FOSGP.5T8.F500.M,BHR,2018,0.5565900206565857,,
FOSGP.5T8.F500.M,BHR,2019,0.9139999747276306,,
FOSGP.5T8.F500.M,BHR,2020,0.6620100140571594,,
FOSGP.5T8.F500.M,BHR,2021,1.100790023803711,,
FOSGP.5T8.F500.M,BHR,2022,1.125349998474121,,
FOSGP.5T8.F500.M,BHR,2023,1.103049993515015,,
FOSGP.5T8.F500.M,BIH,2015,3.066380023956299,,
FOSGP.5T8.F500.M,BIH,2016,7.416409969329834,,
FOSGP.5T8.F500.M,BIH,2017,3.112790107727051,,
FOSGP.5T8.F500.M,BIH,2018,3.222450017929077,,
FOSGP.5T8.F500.M,BIH,2019,3.314840078353882,,
FOSGP.5T8.F500.M,BIH,2020,3.029020071029663,,
FOSGP.5T8.F500.M,BIH,2021,2.526410102844238,,
FOSGP.5T8.F500.M,BIH,2022,2.869119882583618,,
FOSGP.5T8.F500.M,BIH,2023,2.906559944152832,,
FOSGP.5T8.F500.M,BLR,2015,2.624289989471436,,
FOSGP.5T8.F500.M,BLR,2016,2.411079883575439,,
FOSGP.5T8.F500.M,BLR,2017,2.64507007598877,,
FOSGP.5T8.F500.M,BLR,2018,3.265899896621704,,
FOSGP.5T8.F500.M,BLR,2019,2.598469972610474,,
