country,country_name,year,pct_female_stem
ABW,Aruba,2016,22.77224473236678
AFG,Afghanistan,2020,27.95616177629665
AGO,Angola,2015,41.52331135384995
ALB,Albania,2023,29.84952363361446
AND,Andorra,2023,14.712148115296452
ARE,United Arab Emirates,2023,44.23246467912427
ARG,Argentina,2022,30.873527497602065
ARM,Armenia,2023,25.320560889669107
ASM,American Samoa,2007,11.046523680116389
ATG,Antigua & Barbuda,2012,6.498945526898922
AUS,Australia,2022,25.74057436856487
AUT,Austria,2022,24.00964130405012
AZE,Azerbaijan,2023,31.43835971286233
BDI,Burundi,2018,37.90052145875547
BEL,Belgium,2022,20.32066119335397
BEN,Benin,2022,40.107472420588046
BFA,Burkina Faso,2022,28.0090260038372
BGD,Bangladesh,2020,39.56780476249645
BGR,Bulgaria,2021,26.73479616763973
BHR,Bahrain,2023,33.46218997337909
BIH,Bosnia & Herzegovina,2023,34.1537345206134
BLR,Belarus,2023,22.4466835734556
BLZ,Belize,2023,29.55300322354107
BMU,Bermuda,2023,9.2337833359989
BRA,Brazil,2022,23.375742800494
BRN,Brunei,2023,38.08613739678544
BWA,Botswana,2023,26.234106140179097
CAN,Canada,2022,28.84719308873497
CHE,Switzerland,2022,24.69080450342164
CHL,Chile,2022,16.443125555881277
CMR,Cameroon,2023,25.25729568794159
COD,Congo - Kinshasa,2016,38.213087007296146
COG,Congo - Brazzaville,2017,26.8347253259004
COL,Colombia,2021,29.854416695433773
CPV,Cape Verde,2018,28.854602296754813
CRI,Costa Rica,2023,27.10684552933753
CUB,Cuba,2023,28.888924697716977
CYM,Cayman Islands,2008,23.41361177021391
CYP,Cyprus,2022,19.61002681705928
CZE,Czechia,2022,26.96057856957707
DEU,Germany,2022,27.08518315698537
DNK,Denmark,2023,29.50797666054678
DOM,Dominican Republic,2022,16.01793041612421
DZA,Algeria,2023,40.820613230546414
ECU,Ecuador,2022,24.885123732697913
EGY,Egypt,2024,32.502729736694164
ERI,Eritrea,2016,39.63816606214919
ESP,Spain,2022,22.757836358669895
EST,Estonia,2022,27.97665541105474
ETH,Ethiopia,2008,38.087315048351215
FIN,Finland,2022,23.18893873028656
FJI,Fiji,2019,38.17891536943244
FRA,France,2022,36.29847717217427
GBR,United Kingdom,2021,26.82574116026586
GEO,Georgia,2023,35.530191660852836
GHA,Ghana,2023,23.049779525222952
GMB,Gambia,2011,49.007248020918205
GRC,Greece,2022,31.48160902288259
GRD,Grenada,2018,35.79232401690721
GTM,Guatemala,2015,24.26154342037048
GUY,Guyana,2012,11.147959959156385
HKG,Hong Kong SAR China,2006,23.482793170364072
HND,Honduras,2019,26.46573777999584
HRV,Croatia,2022,28.742642816836465
HUN,Hungary,2022,22.19029347888015
IDN,Indonesia,2018,29.654676178205296
IND,India,2023,42.30812725260592
IRL,Ireland,2022,30.04029481464147
IRN,Iran,2022,36.2758527792701
IRQ,Iraq,2004,31.447604721540923
ISL,Iceland,2022,24.388299125264744
ISR,Israel,2022,24.61827242747454
ITA,Italy,2022,31.795160651405386
JOR,Jordan,2023,34.58023807029398
KAZ,Kazakhstan,2020,28.00135132564245
KEN,Kenya,2001,28.639638579995356
KGZ,Kyrgyzstan,2024,28.80159634356223
KHM,Cambodia,2019,27.5241719829409
KOR,South Korea,2022,26.01163704087
LAO,Laos,2019,27.53238773195897
LBN,Lebanon,2011,37.27263328039986
LBR,Liberia,2000,61.18532859748736
LCA,St. Lucia,2023,14.716837619880195
LIE,Liechtenstein,2020,68.2825816860667
LKA,Sri Lanka,2023,28.85790320877039
LSO,Lesotho,2018,18.534138847302792
LTU,Lithuania,2022,21.196300873479615
LUX,Luxembourg,2022,29.08289731261776
LVA,Latvia,2022,20.43582522694149
MAC,Macao SAR China,2023,25.78967617509324
MAR,Morocco,2023,38.22234710248413
MDA,Moldova,2023,23.077490139466978
MDG,Madagascar,2023,33.99004359525879
MDV,Maldives,2019,22.386486975702617
MEX,Mexico,2022,28.447810016808063
MHL,Marshall Islands,2022,28.022055035364264
MKD,North Macedonia,2022,40.6615842208632
MLT,Malta,2022,24.831290400697178
MMR,Myanmar (Burma),2018,44.40547032640965
MNE,Montenegro,2019,36.97111336585873
MNG,Mongolia,2023,22.244861336720646
MOZ,Mozambique,2018,29.422890263306225
MRT,Mauritania,2020,52.27365783210961
MUS,Mauritius,2024,28.27479922322117
MYS,Malaysia,2023,32.266515593209576
NAM,Namibia,2022,22.471679793444075
NER,Niger,2019,28.886394546862498
NIC,Nicaragua,2023,30.813653525445183
NLD,Netherlands,2022,27.30278464848978
NOR,Norway,2022,24.05703467074978
NZL,New Zealand,2022,30.675586328100792
OMN,Oman,2023,43.38870987515064
PAN,Panama,2022,26.564650774897615
PER,Peru,2017,39.897061006301506
PHL,Philippines,2023,29.216777644343495
POL,Poland,2022,27.08730909715153
PRI,Puerto Rico,2023,26.48995937619687
PRK,North Korea,2015,29.46900541120256
PRT,Portugal,2022,29.343863440033907
PSE,Palestinian Territories,2023,34.509867667418156
QAT,Qatar,2023,32.666994640928316
ROU,Romania,2022,33.510227800745234
RWA,Rwanda,2023,36.38422640716302
SAU,Saudi Arabia,2022,36.79828488667006
SDN,Sudan,2015,48.65050028891356
SGP,Singapore,2022,30.550104222469944
SLE,Sierra Leone,2000,64.84947635091845
SLV,El Salvador,2023,36.55625037314536
SMR,San Marino,2023,25.855517114464497
SRB,Serbia,2023,35.44789195030699
SVK,Slovakia,2022,23.826311540360763
SVN,Slovenia,2022,24.688935059735073
SWE,Sweden,2023,27.216255212721908
SWZ,Eswatini,2006,28.58105256787646
SXM,Sint Maarten,2022,0
SYC,Seychelles,2023,23.968751397973605
SYR,Syria,2022,44.02059790672502
TCA,Turks & Caicos Islands,2023,4.8672531817653955
TCD,Chad,2020,31.34610767685774
THA,Thailand,2024,23.302777519860836
TTO,Trinidad & Tobago,2023,32.60235029149149
TUN,Tunisia,2023,36.90354347005433
TUR,Turkey,2022,50.05824565374858
TZA,Tanzania,2024,33.444770896002225
UGA,Uganda,2004,36.20454320428962
UKR,Ukraine,2023,23.60327258987004
URY,Uruguay,2022,31.603789232080977
USA,United States,2021,28.954292735887364
UZB,Uzbekistan,2021,27.89421667947382
VGB,British Virgin Islands,2023,31.34639285235874
VNM,Vietnam,2016,33.02180375199298
WSM,Samoa,2021,63.10682962538024
ZAF,South Africa,2022,33.64758141875658
ZWE,Zimbabwe,2015,36.26802969608243
